,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
1,58.0,27.0,65.2,30.0,31.0,92.6,75.1,81.0,49.0,78.4,79.8,65.0,70.0,5.1,10.0,10.0,23.3,28.8,3.2,24.9,2.0,4.4,7741.0,13.5,3.4,1031.4,58.9,3,0,1,0,0,0,0
2,145.0,14.0,49.6,30.0,29.0,80.4,44.1,65.2,52.6,76.6,67.8,20.0,30.0,8.6,35.0,25.0,10.4,43.1,36.0,263.7,2.5,2.7,7333.0,10.0,4.5,2571.0,9.9,5,0,0,1,0,0,0
4,160.0,27.0,46.7,15.0,30.0,64.3,52.1,60.1,47.4,60.4,67.6,40.0,30.0,6.2,35.0,35.0,33.5,40.0,40.9,716.4,8.9,6.8,17516.0,7.2,9.8,7243.1,44.2,5,0,0,0,0,1,0
5,38.0,17.0,69.4,30.0,26.0,88.0,82.1,87.6,77.1,73.0,85.4,75.0,70.0,2.3,20.0,20.0,20.0,24.4,3.3,17.9,4.4,2.2,5384.0,5.9,7.7,524.6,35.1,3,0,1,0,0,0,0
6,3.0,3.0,82.6,90.0,88.0,66.4,62.8,95.5,83.5,83.8,86.2,80.0,90.0,1.9,45.0,30.0,20.9,35.2,22.7,914.5,2.0,2.6,40234.0,5.1,3.4,41316.7,22.9,1,1,0,0,0,0,0
7,25.0,14.0,71.8,90.0,78.0,51.1,23.5,73.6,80.4,79.3,86.8,85.0,70.0,1.6,50.0,25.0,42.0,50.5,8.4,352.0,3.1,1.3,41822.0,4.5,3.6,14127.9,72.2,2,0,1,0,0,0,0
8,88.0,14.0,59.7,25.0,24.0,85.5,67.8,69.2,79.4,73.5,77.2,55.0,40.0,3.9,30.0,20.0,12.4,32.8,9.1,93.1,0.1,9.7,10202.0,1.0,7.9,1465.0,10.2,4,1,0,0,0,0,0
9,35.0,3.0,70.1,70.0,73.0,97.0,84.9,71.3,81.6,75.8,47.0,30.0,70.0,21.5,0.0,0.0,17.4,22.4,0.3,10.8,2.0,-0.5,30959.0,13.7,2.5,1533.3,48.6,2,0,0,0,0,1,0
10,12.0,1.0,75.5,55.0,51.0,99.9,72.4,75.8,90.4,72.5,82.8,75.0,80.0,3.6,0.0,0.0,3.9,30.3,1.1,31.1,1.8,4.8,27556.0,4.0,1.0,780.9,36.5,2,0,0,1,0,0,0
11,132.0,28.0,52.6,20.0,27.0,72.7,92.1,68.0,51.9,65.4,54.0,55.0,20.0,13.0,25.0,45.0,9.0,16.2,166.7,282.2,6.1,6.1,1693.0,5.0,10.7,1136.4,42.9,4,1,0,0,0,0,0
12,39.0,6.0,69.3,80.0,78.0,74.5,54.2,74.8,84.4,72.1,60.5,55.0,60.0,14.8,35.0,25.0,26.5,39.1,0.3,6.5,0.5,0.0,23417.0,11.2,9.4,333.6,117.3,3,0,0,0,0,1,0
14,40.0,18.0,69.2,80.0,75.0,45.0,14.5,91.6,69.8,79.3,86.8,80.0,70.0,1.6,50.0,33.0,43.8,53.4,11.0,413.3,1.9,1.0,37737.0,7.4,3.5,89142.4,98.5,3,0,1,0,0,0,0
15,102.0,20.0,57.3,30.0,0.0,82.2,72.6,72.6,71.4,77.3,77.2,40.0,50.0,6.4,25.0,25.0,23.1,30.2,0.3,2.8,2.5,2.0,8264.0,13.1,1.9,93.8,80.3,4,0,0,0,0,1,0
17,122.0,25.0,55.0,60.0,57.0,82.7,38.8,60.5,84.4,67.3,49.5,20.0,30.0,17.8,25.0,30.0,14.4,45.2,0.7,4.3,5.9,9.1,6112.0,4.0,8.6,13.9,82.0,4,1,0,0,0,0,0
18,156.0,25.0,47.9,10.0,28.0,88.8,64.1,55.8,30.8,67.4,74.3,10.0,50.0,5.4,13.0,25.0,18.0,34.6,10.6,50.9,5.1,4.8,4789.0,5.8,9.9,858.9,32.9,5,0,0,0,0,1,0
19,103.0,38.0,57.3,20.0,32.0,83.2,26.9,54.3,61.2,79.0,86.4,70.0,60.0,1.8,10.0,10.0,38.5,49.4,3.9,31.6,1.7,2.2,8133.0,43.3,3.7,435.1,40.6,4,0,1,0,0,0,0
20,30.0,2.0,70.6,70.0,61.0,79.5,65.1,69.0,69.8,72.0,79.7,70.0,70.0,5.2,25.0,22.0,30.7,34.1,1.9,29.7,4.6,2.8,16030.0,7.5,8.5,587.1,17.3,2,0,0,0,0,0,1
21,100.0,19.0,57.7,50.0,38.0,70.3,54.8,53.0,57.2,74.4,69.7,50.0,60.0,7.6,27.5,34.0,32.5,38.8,194.9,2294.2,2.7,4.2,11769.0,6.0,6.6,66660.1,66.2,4,0,0,0,0,1,0
22,60.0,29.0,65.0,30.0,33.0,94.0,64.2,73.6,74.8,78.6,86.8,55.0,60.0,1.6,10.0,10.0,19.9,34.6,7.4,101.0,1.7,1.7,13597.0,9.6,3.4,1864.5,17.0,3,0,1,0,0,0,0
24,172.0,40.0,39.2,10.0,15.0,81.9,96.8,20.0,20.0,65.1,73.6,0.0,10.0,3.2,30.0,30.0,3.2,10.4,62.4,82.7,5.5,6.3,1325.0,5.5,4.2,850.0,44.3,5,1,0,0,0,0,0
26,95.0,16.0,58.5,30.0,21.0,90.9,88.4,39.4,54.2,81.3,70.2,60.0,50.0,9.9,20.0,20.0,10.7,19.7,15.1,33.5,6.1,5.8,2216.0,3.5,5.5,891.7,28.6,4,1,0,0,0,0,0
28,6.0,1.0,79.4,90.0,87.0,79.8,44.8,91.7,82.3,75.2,88.2,75.0,80.0,0.9,29.0,15.0,31.0,42.9,34.4,1396.1,2.5,1.1,40541.0,7.4,2.9,40931.5,85.0,2,0,0,0,1,0,0
29,65.0,4.0,63.7,70.0,55.0,77.9,65.4,58.9,40.3,78.0,66.9,65.0,60.0,11.6,35.0,25.0,19.1,33.9,0.5,2.1,5.0,5.8,3947.0,10.7,4.5,93.1,77.6,3,0,0,0,0,0,1
32,7.0,1.0,79.0,90.0,72.0,77.6,83.7,70.5,74.2,84.6,82.0,85.0,70.0,4.0,40.0,18.5,17.3,23.3,17.4,299.6,5.9,3.9,17222.0,6.1,3.3,17299.0,9.9,2,0,0,0,0,1,0
33,136.0,29.0,51.9,20.0,36.0,70.2,83.3,48.0,62.6,71.6,72.0,25.0,30.0,4.0,45.0,25.0,18.2,23.6,1348.1,11300.0,9.2,10.5,8382.0,6.5,5.4,123985.0,25.8,4,1,0,0,0,0,0
34,37.0,5.0,69.6,50.0,34.0,76.1,75.2,90.2,79.3,78.7,72.2,70.0,70.0,8.9,33.0,33.0,14.4,28.7,46.1,472.0,5.9,4.4,10249.0,10.9,3.4,13234.2,34.7,3,0,0,0,0,1,0
38,49.0,8.0,67.0,50.0,48.0,82.9,90.1,58.3,60.4,75.4,85.1,70.0,50.0,2.4,25.0,30.0,13.5,18.2,4.6,55.0,4.2,3.7,11927.0,7.7,4.9,2104.1,30.8,3,0,0,0,0,1,0
40,78.0,35.0,61.3,40.0,40.0,75.4,48.7,63.0,42.4,81.1,87.5,75.0,60.0,1.2,40.0,20.0,21.4,41.4,4.4,80.3,-0.0,-0.1,18192.0,17.7,2.3,1494.1,45.6,3,0,1,0,0,0,0
42,41.0,19.0,69.0,70.0,63.0,79.8,32.7,80.7,62.8,84.1,81.8,75.0,60.0,1.6,35.0,10.0,26.3,47.4,0.8,23.7,0.5,1.7,29074.0,5.6,3.5,276.3,71.8,3,0,1,0,0,0,0
43,29.0,15.0,70.9,70.0,44.0,82.0,43.5,65.8,85.5,81.7,86.8,70.0,80.0,1.6,15.0,19.0,34.9,43.4,10.5,285.0,1.7,1.6,27062.0,6.7,1.9,5404.5,41.5,2,0,1,0,0,0,0
